DATE,LAT,LON,CHL,PAR,POC,PIC,SST
2016-04-21T02:40:00.000Z,6.02,99.98,0.57,57.068,134.6,0.00005,32.98
2016-04-22T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-23T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,32.56
2016-04-24T02:59:59.000Z,6.02,99.98,-32767,54.934,-32767,-32767,-32767
2016-04-25T02:45:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-26T02:54:59.000Z,6.02,99.98,-32767,55.136,-32767,-32767,-32767
2016-04-27T02:34:59.000Z,6.02,99.98,-32767,53.864,-32767,-32767,-32767
2016-04-28T02:44:59.000Z,6.02,99.98,0.54,56.634,124,0.00006,31.12
2016-04-29T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-04-30T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-01T02:09:59.000Z,6.02,99.98,-32767,43.822,-32767,-32767,-32767
2016-05-02T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-03T02:59:59.000Z,6.02,99.98,-32767,46.536,-32767,-32767,-32767
2016-05-04T02:39:59.000Z,6.02,99.98,-32767,52.342,-32767,-32767,-32767
2016-05-05T02:50:00.000Z,6.02,99.98,-32767,56.324,-32767,-32767,-32767
2016-05-06T02:25:00.000Z,6.02,99.98,-32767,54.624,-32767,-32767,-32767
2016-05-07T02:40:00.000Z,6.02,99.98,-32767,45.566,-32767,-32767,-32767
2016-05-08T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-09T02:59:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-10T02:59:59.000Z,6.02,99.98,-32767,55.628,-32767,-32767,-32767
2016-05-11T02:45:00.000Z,6.02,99.98,0.29,55.02,79.6,0.000012,32.9
2016-05-12T02:54:59.000Z,6.02,99.98,-32767,47.732,-32767,-32767,-32767
2016-05-13T02:34:59.000Z,6.02,99.98,-32767,50.464,-32767,-32767,-32767
2016-05-14T02:44:59.000Z,6.02,99.98,-32767,44.69,-32767,-32767,-32767
2016-05-15T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-16T02:59:59.000Z,6.02,99.98,-32767,45.602,-32767,-32767,-32767
2016-05-17T02:09:59.000Z,6.02,99.98,-32767,43.928,-32767,-32767,-32767
2016-05-18T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,32.5
2016-05-19T02:59:59.000Z,6.02,99.98,0.42,55.26,100.6,0.000032,31.91
2016-05-20T02:39:59.000Z,6.02,99.98,-32767,23.384,-32767,-32767,-32767
2016-05-21T02:50:00.000Z,6.02,99.98,-32767,42.488,-32767,-32767,-32767
2016-05-22T02:25:00.000Z,6.02,99.98,-32767,18.18,-32767,-32767,-32767
2016-05-23T02:40:00.000Z,6.02,99.98,-32767,25.312,-32767,-32767,-32767
2016-05-24T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-25T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-05-26T02:59:59.000Z,6.02,99.98,-32767,44.032,-32767,-32767,-32767
2016-05-27T02:45:00.000Z,6.02,99.98,-32767,47.344,-32767,-32767,-32767
2016-05-28T02:54:59.000Z,6.02,99.98,-32767,29.956,-32767,-32767,-32767
2016-05-29T02:29:59.000Z,6.02,99.98,-32767,46.782,-32767,-32767,-32767
2016-05-30T02:44:59.000Z,6.02,99.98,-32767,37.768,-32767,-32767,-32767
2016-05-31T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-01T02:59:59.000Z,6.02,99.98,0.57,54.47,148.4,0.00013199,32.49
2016-06-02T02:09:59.000Z,6.02,99.98,-32767,52.472,-32767,-32767,-32767
